Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,25-Nov-2025,CE,23750.00,2236.55,2236.55,2236.55,2236.55,2236.55,2174.40,1.00,19.49,1.68,375.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26000.00,175.00,219.80,166.05,197.45,196.50,197.45,174129.00,3420818.58,25303.08,6025050.00,-932025.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,24700.00,1351.85,1351.85,1343.85,1347.85,1343.85,1347.85,2.00,39.07,2.02,-,-,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,27000.00,27.00,27.00,17.95,19.90,19.65,19.90,5371.00,108842.83,80.08,227925.00,35325.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,27500.00,6.70,7.25,5.30,5.80,5.30,5.80,720.00,14853.19,3.19,66525.00,31875.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,25250.00,845.05,846.10,840.45,843.20,841.20,843.20,4.00,78.28,2.53,825.00,-75.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,26900.00,25.30,27.40,21.95,25.00,26.00,25.00,986.00,19911.28,18.73,52575.00,37800.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,25300.00,744.00,815.00,740.00,783.65,783.60,783.65,31.00,606.26,18.04,8475.00,300.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,24300.00,1738.10,1738.10,1723.85,1731.00,1723.85,1731.00,2.00,39.05,2.60,-,-,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,27300.00,11.15,11.15,6.35,8.85,8.85,8.85,74.00,1515.68,0.53,5100.00,3750.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,24350.00,1689.05,1689.05,1674.75,1681.90,1674.75,1681.90,2.00,39.05,2.52,75.00,75.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,27050.00,-,-,-,18.70,18.70,25.80,-,-,-,375.00,-,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,25000.00,1050.00,1088.55,1048.15,1063.00,1063.00,1063.00,17.00,332.31,13.56,450.00,-150.00,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,24100.00,-,-,-,1954.35,-,1852.70,-,-,-,-,-,25875.80
NIFTY,12-Nov-2025,02-Dec-2025,CE,23900.00,-,-,-,2140.75,-,2051.40,-,-,-,-,-,25875.80
